"year","month","origin","weatherdelay"
2003,1,"ILE",NA
2003,1,"GGG",NA
2003,1,"DFW",NA
2003,1,"TYR",NA
2003,1,"DFW",NA
2003,1,"DFW",NA
2003,1,"DFW",NA
2003,1,"DFW",NA
2003,1,"AMA",NA
2003,1,"DFW",NA
2003,1,"JAN",NA
2003,1,"HOU",NA
2003,1,"DFW",NA
2003,1,"DFW",NA
2003,1,"DFW",NA
2003,1,"DFW",NA
2003,1,"DFW",NA
2003,1,"TUL",NA
2003,1,"DFW",NA
2003,1,"DFW",NA
2003,1,"IAH",NA
2003,1,"DFW",NA
2003,1,"DFW",NA
2003,1,"DFW",NA
2003,1,"DFW",NA
2003,1,"DFW",NA
2003,1,"DFW",NA
2003,1,"DFW",NA
2003,1,"IAH",NA
2003,1,"DFW",NA
2003,1,"IAH",NA
2003,1,"DFW",NA
2003,1,"DFW",NA
2003,1,"DFW",NA
2003,1,"DFW",NA
2003,1,"AUS",NA
2003,1,"DFW",NA
2003,1,"SAT",NA
2003,1,"HOU",NA
2003,1,"HOU",NA
2003,1,"DFW",NA
2003,1,"AUS",NA
2003,1,"DFW",NA
2003,1,"DFW",NA
2003,1,"DFW",NA
2003,1,"DFW",NA
2003,1,"DFW",NA
2003,1,"DFW",NA
2003,1,"DFW",NA
2003,1,"DFW",NA
2003,1,"DFW",NA
2003,1,"DFW",NA
2003,1,"DFW",NA
2003,1,"MSY",NA
2003,1,"BTR",NA
2003,1,"DFW",NA
2003,1,"IAH",NA
2003,1,"IAH",NA
2003,1,"IAH",NA
2003,1,"IAH",NA
2003,1,"IAH",NA
2003,1,"IAH",NA
2003,1,"IAH",NA
2003,1,"IAH",NA
2003,1,"IAH",NA
2003,1,"IAH",NA
2003,1,"IAH",NA
2003,1,"IAH",NA
2003,1,"IAH",NA
2003,1,"IAH",NA
2003,1,"IAH",NA
2003,1,"IAH",NA
2003,1,"IAH",NA
2003,1,"IAH",NA
2003,1,"IAH",NA
2003,1,"IAH",NA
2003,1,"IAH",NA
2003,1,"IAH",NA
2003,1,"IAH",NA
2003,1,"IAH",NA
2003,1,"MSY",NA
2003,1,"MSY",NA
2003,1,"AUS",NA
2003,1,"CLT",NA
2003,1,"MCO",NA
2003,1,"ATL",NA
2003,1,"CLT",NA
2003,1,"CLT",NA
2003,1,"RSW",NA
2003,1,"ORF",NA
2003,1,"JAX",NA
2003,1,"JAX",NA
2003,1,"RDU",NA
2003,1,"MIA",NA
2003,1,"CLT",NA
2003,1,"CLT",NA
2003,1,"CLT",NA
2003,1,"DCA",NA
2003,1,"DCA",NA
2003,1,"DCA",NA
2003,1,"CLT",NA
2003,1,"CLT",NA
2003,1,"CLT",NA
2003,1,"CLT",NA
2003,1,"CLT",NA
2003,1,"CLT",NA
2003,1,"CLT",NA
2003,1,"DCA",NA
2003,1,"MCO",NA
2003,1,"MCO",NA
2003,1,"CLT",NA
2003,1,"MCO",NA
2003,1,"RDU",NA
2003,1,"PBI",NA
2003,1,"CLT",NA
2003,1,"DCA",NA
2003,1,"JAX",NA
2003,1,"TPA",NA
2003,1,"TPA",NA
2003,1,"FLL",NA
2003,1,"BHM",NA
2003,1,"MCO",NA
2003,1,"MCO",NA
2003,1,"MCO",NA
2003,1,"BHM",NA
2003,1,"TPA",NA
2003,1,"BHM",NA
2003,1,"TPA",NA
2003,1,"TPA",NA
2003,1,"BHM",NA
2003,1,"MCO",NA
2003,1,"TPA",NA
2003,1,"BHM",NA
2003,1,"MCO",NA
2003,1,"ORF",NA
2003,1,"FLL",NA
2003,1,"MCO",NA
2003,1,"MCO",NA
2003,1,"FLL",NA
2003,1,"FLL",NA
2003,1,"DCA",NA
2003,1,"DCA",NA
2003,1,"DCA",NA
2003,1,"RDU",NA
2003,1,"DCA",NA
2003,1,"ATL",NA
2003,1,"MCO",NA
2003,1,"MIA",NA
2003,1,"CLT",NA
2003,1,"IAD",NA
2003,1,"IAD",NA
2003,1,"RIC",NA
2003,1,"CLT",NA
2003,1,"CLT",NA
2003,1,"RDU",NA
2003,1,"GSO",NA
2003,1,"GSO",NA
2003,1,"ATL",NA
2003,1,"AVL",NA
2003,1,"CLT",NA
2003,1,"DCA",NA
2003,1,"GSO",NA
2003,1,"RDU",NA
2003,1,"PIE",NA
2003,1,"MCO",NA
2003,1,"RSW",NA
2003,1,"PIE",NA
2003,1,"MCO",NA
2003,1,"RSW",NA
2003,1,"TPA",NA
2003,1,"IAD",NA
2003,1,"IAD",NA
2003,1,"MIA",NA
2003,1,"IAD",NA
2003,1,"IAD",NA
2003,1,"ATL",NA
2003,1,"MCO",NA
2003,1,"FLL",NA
2003,1,"TPA",NA
2003,1,"IAD",NA
2003,1,"PBI",NA
2003,1,"ATL",NA
2003,1,"FLL",NA
2003,1,"ATL",NA
2003,1,"ATL",NA
2003,1,"ATL",NA
2003,1,"ORF",NA
2003,1,"ATL",NA
2003,1,"RSW",NA
2003,1,"GSO",NA
2003,1,"ATL",NA
2003,1,"ATL",NA
2003,1,"PBI",NA
2003,1,"ATL",NA
2003,1,"ORF",NA
2003,1,"ATL",NA
2003,1,"FLL",NA
2003,1,"ATL",NA
2003,1,"ATL",NA
2003,1,"FLL",NA
2003,1,"TPA",NA
2003,1,"ATL",NA
2003,1,"ATL",NA
2003,1,"ATL",NA
2003,1,"ATL",NA
2003,1,"ATL",NA
2003,1,"ATL",NA
2003,1,"ATL",NA
2003,1,"ATL",NA
2003,1,"ATL",NA
2003,1,"ATL",NA
2003,1,"ATL",NA
2003,1,"ATL",NA
2003,1,"ATL",NA
2003,1,"ATL",NA
2003,1,"ATL",NA
2003,1,"PBI",NA
2003,1,"ATL",NA
2003,1,"ATL",NA
2003,1,"DCA",NA
2003,1,"DCA",NA
2003,1,"DCA",NA
2003,1,"DCA",NA
2003,1,"DCA",NA
2003,1,"JAX",NA
2003,1,"ATL",NA
2003,1,"ATL",NA
2003,1,"ATL",NA
2003,1,"MCO",NA
2003,1,"ATL",NA
2003,1,"ATL",NA
2003,1,"ATL",NA
2003,1,"ATL",NA
2003,1,"ATL",NA
2003,1,"ATL",NA
2003,1,"TPA",NA
2003,1,"TPA",NA
2003,1,"FLL",NA
2003,1,"RSW",NA
2003,1,"ATL",NA
2003,1,"ATL",NA
2003,1,"ATL",NA
2003,1,"HSV",NA
2003,1,"ILM",NA
2003,1,"ATL",NA
2003,1,"FAY",NA
2003,1,"ATL",NA
2003,1,"VLD",NA
2003,1,"MGM",NA
2003,1,"ATL",NA
2003,1,"ATL",NA
2003,1,"ATL",NA
2003,1,"ATL",NA
2003,1,"ATL",NA
