"Region","year","month","n_flights","n_delay","prop_delay","strat.size","prop_se","upper","lower"
"Central",2005,6,2477,43,0.0173597093257973,99091,0.00259176794323729,0.0224395744945424,0.0122798441570522
"Central",2005,7,2525,59,0.0233663366336634,101672,0.00296931033415775,0.0291861848886126,0.0175464883787142
"Central",2005,8,2572,34,0.0132192846034215,102909,0.00222416571395439,0.0175786494027721,0.00885991980407086
"Central",2005,9,2448,24,0.00980392156862745,95699,0.00196614969161836,0.0136575749641994,0.00595026817305547
"Central",2005,10,2506,13,0.00518754988028731,99108,0.00141705460757211,0.00796497691112864,0.00241012284944598
"Central",2005,11,2379,33,0.0138713745271122,94469,0.00236800264993946,0.0185126597209936,0.00923008933323089
"Central",2005,12,2262,59,0.0260831122900088,91448,0.00331017999629911,0.0325710650827551,0.0195951594972626
"Central",2006,1,2358,43,0.0182357930449534,93034,0.00272089300042862,0.0235687433257935,0.0129028427641133
"Central",2006,2,2009,33,0.0164260826281732,84156,0.00280247637681649,0.0219189363267335,0.0109332289296129
"Central",2006,3,2395,54,0.0225469728601253,95286,0.00299572723007519,0.0284185982310726,0.0166753474891779
"Central",2006,4,2286,27,0.0118110236220472,91583,0.00223167871234926,0.0161851138982518,0.0074369333458427
"Central",2006,5,2355,41,0.0174097664543524,94557,0.0026619677724128,0.0226272232882815,0.0121923096204234
"Central",2006,6,2255,36,0.0159645232815965,91871,0.0026074137732147,0.0210750542770973,0.0108539922860956
"Central",2006,7,2320,31,0.0133620689655172,94174,0.00235477226587925,0.0179774226066406,0.00874671532439391
"Central",2006,8,2408,36,0.0149501661129568,95640,0.00244217500283662,0.0197368291185166,0.010163503107397
"Central",2006,9,2275,26,0.0114285714285714,90288,0.00220071177084001,0.0157419664994179,0.007115176357725
"Central",2006,10,2349,44,0.0187313750532141,94658,0.00276295047924916,0.0241467579925425,0.0133159921138858
"Central",2006,11,2284,29,0.0126970227670753,89679,0.00231324233431337,0.0172309777423295,0.0081630677918211
"Central",2006,12,2286,42,0.0183727034120735,91473,0.00277409327642035,0.0238099262338574,0.0129354805902896
"Central",2007,1,2300,78,0.0339130434782609,96894,0.00372997017982961,0.0412237850307269,0.0266023019257948
"Central",2007,2,2278,101,0.0443371378402107,87796,0.00425741581608613,0.0526816728397395,0.0359926028406819
"Central",2007,3,2448,28,0.011437908496732,98956,0.00212284796755115,0.0155986905131323,0.00727712648033178
"Central",2007,4,2333,37,0.0158594084869267,95558,0.00255529157063488,0.0208677799653711,0.0108510370084823
"Central",2007,5,2479,38,0.0153287615974183,99484,0.00243707531529696,0.0201054292154004,0.0105520939794363
"Central",2007,6,2479,53,0.0213795885437676,97478,0.00286854962311744,0.0270019458050778,0.0157572312824575
"Central",2007,7,2392,39,0.016304347826087,99155,0.00255852495082682,0.0213190567297075,0.0112896389224664
"Central",2007,8,2550,51,0.02,100642,0.00273760183524506,0.0253656995970803,0.0146343004029197
"Central",2007,9,2354,26,0.0110450297366185,93272,0.00212720836451467,0.0152143581310673,0.00687570134216978
"Central",2007,10,2400,31,0.0129166666666667,98601,0.0022771211920146,0.0173798242030153,0.00845350913031806
"Central",2007,11,2322,30,0.0129198966408269,93825,0.00231486958259586,0.0174570410227148,0.00838275225893898
"Central",2007,12,2279,116,0.0508995173321632,92953,0.004548264902325,0.0598141165407202,0.0419849181236062
"Central",2008,1,2343,91,0.0388390951771233,92468,0.00394154112270697,0.046564515777629,0.0311136745766177
"Central",2008,2,2085,108,0.0517985611510791,86221,0.00479561929021093,0.0611979749598926,0.0423991473422657
"Central",2008,3,2362,51,0.0215918712955123,93467,0.00295324262774025,0.0273802268458832,0.0158035157451414
"Central",2008,4,2270,29,0.0127753303964758,91952,0.00232835327117645,0.0173389028079816,0.00821175798496994
"Central",2008,5,2445,22,0.00899795501022495,93695,0.00188502368768532,0.0126926014380882,0.00530330858236172
"Central",2008,6,2291,58,0.0253164556962025,92545,0.00324169594241138,0.0316701797433288,0.0189627316490762
"Central",2008,7,2368,41,0.0173141891891892,94582,0.00264730193364261,0.0225029009791287,0.0121254773992497
"Central",2008,8,2318,25,0.0107851596203624,92055,0.00211864242821747,0.0149376987796686,0.00663262046105613
"Central",2008,9,2166,19,0.0087719298245614,84250,0.00197810673278863,0.0126490190208271,0.00489484062829569
"Central",2008,10,2104,3,0.00142585551330798,86246,0.000812727988353503,0.00301880237048085,0
"Central",2008,11,2093,29,0.0138557095078834,78322,0.00252128537018906,0.018797428833454,0.00891399018231287
"Central",2008,12,1954,122,0.0624360286591607,80917,0.00540827669315688,0.0730362509777482,0.0518358063405732
"Central",2009,1,1865,66,0.0353887399463807,78240,0.00422811654703742,0.0436758483785741,0.0271016315141873
"Central",2009,2,1793,34,0.018962632459565,71585,0.00318137521510641,0.0251981278811735,0.0127271370379564
"Central",2009,3,2036,26,0.012770137524558,82060,0.00245792764270991,0.0175876757042694,0.00795259934484653
"Central",2009,4,2048,20,0.009765625,80179,0.00214556399827963,0.0139709304366281,0.00556031956337192
"Central",2009,5,1978,19,0.0096056622851365,80315,0.00216645430144146,0.0138519127159618,0.00535941185431124
