"year","month","origin","avg_del","n_flights","n_wdelay"
2003,5,"FLL",NA,4942,0
2003,7,"ATL",1.0729820700369,30898,30898
2003,7,"PIA",0.426056338028169,284,284
2003,5,"FLO",NA,87,0
2003,7,"AVL",0.847305389221557,334,334
2003,2,"OMA",NA,1619,0
2003,12,"LAN",0.144469525959368,443,443
2003,12,"MQT",0.037037037037037,27,27
2003,4,"SAT",NA,3115,0
2003,10,"TLH",0,274,274
2003,2,"MLU",NA,268,0
2003,6,"SIT",0,143,143
2003,11,"RDU",0.214372716199756,4105,4105
2003,11,"EGE",0,5,5
2003,4,"LCH",NA,129,0
2003,7,"SGF",0.579411764705882,340,340
2003,11,"CRW",0.151761517615176,369,369
2003,6,"CHA",0.587837837837838,296,296
2003,10,"STT",0,155,155
2003,7,"HTS",0.617021276595745,94,94
2003,1,"ADQ",NA,62,0
2003,11,"RSW",0.137046307884856,1598,1598
2003,3,"ABE",NA,373,0
2003,2,"MFE",NA,249,0
2003,6,"CAK",0.63265306122449,392,392
2003,5,"PNS",NA,581,0
2003,11,"BOI",0.185337726523888,1214,1214
2003,9,"BWI",0.120374878286271,8216,8216
2003,9,"GTR",0.675,120,120
2003,11,"MRY",0.0686767169179229,597,597
2003,11,"CHS",0,842,842
2003,11,"TRI",0.220973782771536,267,267
2003,4,"PIE",NA,219,0
2003,10,"STX",0,35,35
2003,4,"FSM",NA,197,0
2003,9,"JFK",0.16368330464716,5810,5810
2003,1,"ROC",NA,1341,0
2003,4,"SGU",NA,265,0
2003,10,"MHT",0.0311563810665069,1669,1669
2003,5,"BTR",NA,626,0
2003,1,"SAT",NA,3226,0
2003,8,"MOB",1.53200883002208,453,453
2003,12,"DAY",0.099052540913006,1161,1161
2003,12,"CEC",0,88,88
2003,2,"TRI",NA,238,0
2003,10,"BGR",0.00292397660818713,342,342
2003,4,"IAH",NA,14611,0
2003,7,"HLN",0,122,122
2003,2,"CHS",NA,693,0
2003,2,"MRY",NA,624,0
2003,10,"RDM",0.449760765550239,209,209
2003,1,"BTV",NA,680,0
2003,9,"CMI",0.117647058823529,170,170
2003,11,"MFE",0.352941176470588,255,255
2003,2,"BOI",NA,1217,0
2003,8,"LAX",0.161149508912332,19243,19243
2003,1,"PFN",NA,244,0
2003,1,"PVD",NA,2432,0
2003,4,"HSV",NA,504,0
2003,12,"EWR",1.3387805442072,12973,12973
2003,2,"RSW",NA,1809,0
2003,9,"GNV",1.06598984771574,197,197
2003,1,"SCE",NA,124,0
2003,2,"CRW",NA,525,0
2003,1,"PIT",NA,5868,0
2003,5,"DBQ",NA,91,0
2003,8,"BTM",1.39830508474576,118,118
2003,1,"FSM",NA,242,0
2003,2,"RDU",NA,4029,0
2003,2,"EGE",NA,252,0
2003,11,"MLU",1.20338983050847,295,295
2003,1,"PIE",NA,148,0
2003,9,"BQN",0,18,18
2003,6,"DUT",0,57,57
2003,10,"ADK",0,9,9
2003,1,"SGU",NA,298,0
